UF;Município;Marca Modelo;Ano Fabricação Veículo CRV;Qtd. Veículos
ACRE;ACRELANDIA;FIAT/PALIO FIRE FLEX;2007; 7.0
ACRE;ACRELANDIA;FORD/CORCEL II LDO;1979; 2.0
ACRE;ACRELANDIA;GM/S10 COLINA S;2006; 1.0
ACRE;ACRELANDIA;HONDA/CG150 TITAN MIXESD;2009; 5.0
ACRE;ACRELANDIA;I/FORD FOCUS 1.6L FC;2007; 1.0
ACRE;ACRELANDIA;M.BENZ/2428;2005; 1.0
ACRE;ACRELANDIA;R/GUERRA AG RGR;2001; 1.0
ACRE;ACRELANDIA;TOYOTA/YARIS SD XLPLUSAT;2019; 1.0
ACRE;ACRELANDIA;VW/POLO TRACK MA;2025; 3.0
ACRE;ASSIS BRASIL;CHEV/ONIX 10TAT PR1;2020; 1.0
ACRE;ASSIS BRASIL;HONDA/BIZ 125 ES;2013; 3.0
ACRE;ASSIS BRASIL;HONDA/XRE 300;2012; 1.0
ACRE;ASSIS BRASIL;VW/GOL 1.6;2005; 1.0
ACRE;BRASILEIA;CHEV/PRISMA 1.4MT LTZ;2015; 1.0
ACRE;BRASILEIA;FIAT/PALIO ATTRACTIV 1.0;2013; 2.0
ACRE;BRASILEIA;FIAT/UNO ATTRACTIVE 1.0;2018; 1.0
ACRE;BRASILEIA;FORD/VERSAILLES 1.8 I GL;1996; 1.0
ACRE;BRASILEIA;HONDA/BIZ 125 KS;2011; 5.0
ACRE;BRASILEIA;HONDA/HR-V EXL HS;2024; 2.0
ACRE;BRASILEIA;I/CHEV TRACKER LTZ AT;2015; 1.0
ACRE;BRASILEIA;I/TOYOTA HILUX CDSR A4FD;2019; 1.0
ACRE;BRASILEIA;M.BENZ/ACCELO 815 CE;2021; 2.0
ACRE;BRASILEIA;R/RECLAL CS RC;2018; 5.0
ACRE;BRASILEIA;SUNDOWN/WEB 100;2009; 1.0
ACRE;BRASILEIA;VW/GOL 1.6 RALLYE;2011; 2.0
ACRE;BRASILEIA;VW/SAVEIRO CD HL MB;2016; 1.0
ACRE;BRASILEIA;YAMAHA/YBR 125E;2005; 2.0
ACRE;BUJARI;FIAT/TEMPRA SX;1998; 1.0
ACRE;BUJARI;HONDA/C100 BIZ;2002; 1.0
ACRE;BUJARI;HYUNDAI/HB20 10M SENSE;2023; 1.0
ACRE;BUJARI;M.BENZ/L 1620;2001; 1.0
ACRE;BUJARI;VW/FOX 1.0;2007; 1.0
ACRE;BUJARI;YAMAHA/YBR125I FACTOR ED;2020; 4.0
ACRE;CAPIXABA;FORD/CARGO 1317 E;2008; 1.0
ACRE;CAPIXABA;HONDA/CG 125 TITAN KSE;2003; 5.0
ACRE;CAPIXABA;I/FORD RANGER XLT CD4 32;2014; 1.0
ACRE;CAPIXABA;RENAULT/OROCH 16 4X2;2018; 1.0
ACRE;CAPIXABA;VW/SAVEIRO CL 1.8;1995; 1.0
ACRE;CRUZEIRO DO SUL;CHEV/ONIX 10MT LT1;2021; 1.0
ACRE;CRUZEIRO DO SUL;CHEVROLET/S10 HC DD4A;2024; 7.0
ACRE;CRUZEIRO DO SUL;FIAT/PALIO 16V;1996; 3.0
ACRE;CRUZEIRO DO SUL;FIAT/STRADA ULTRA T200AT;2024; 19.0
ACRE;CRUZEIRO DO SUL;FORD/COURIER L 1.6 FLEX;2010; 1.0
ACRE;CRUZEIRO DO SUL;FORD/PAMPA;1988; 4.0
ACRE;CRUZEIRO DO SUL;GM/D20 CUSTOM DE LUXE;1992; 1.0
ACRE;CRUZEIRO DO SUL;HONDA/CB 500X;2023; 2.0
ACRE;CRUZEIRO DO SUL;HONDA/CIVIC LXR;2013; 2.0
ACRE;CRUZEIRO DO SUL;HONDA/WR-V EXL;2025; 1.0
ACRE;CRUZEIRO DO SUL;I/CHEV TRACKER PREMIER;2018; 3.0
ACRE;CRUZEIRO DO SUL;I/M.BENZ 517 SPRINTER C;2023; 1.0
ACRE;CRUZEIRO DO SUL;I/VW AMAROK CD 4X4 HIGH;2015; 3.0
ACRE;CRUZEIRO DO SUL;KASINSKI/COMET 250R;Sem Informação; 1.0
ACRE;CRUZEIRO DO SUL;MMC/L200 4X4 GL;2005; 1.0
ACRE;CRUZEIRO DO SUL;RAM/RAMPAGE RT GAS;2025; 1.0
ACRE;CRUZEIRO DO SUL;SR/NOMA SR3E27 BCM;2014; 2.0
ACRE;CRUZEIRO DO SUL;TOYOTA/YARIS SA XS15;2024; 1.0
ACRE;CRUZEIRO DO SUL;VW/GOL 1.6 RALLYE;2007; 2.0
ACRE;CRUZEIRO DO SUL;VW/NOVO VOYAGE 1.6 COMF.;2012; 3.0
ACRE;CRUZEIRO DO SUL;VW/SAVEIRO SUMMER 1.8;2001; 1.0
ACRE;CRUZEIRO DO SUL;YAMAHA/NMAX;2016; 6.0
ACRE;EPITACIOLANDIA;CHEV/ONIX PLUS 10TMT LTZ;2022; 2.0
ACRE;EPITACIOLANDIA;FIAT/PALIO EX;1999; 2.0
ACRE;EPITACIOLANDIA;FORD/CARGO 2429;2013; 1.0
ACRE;EPITACIOLANDIA;GM/CORSA WIND;1999; 1.0
ACRE;EPITACIOLANDIA;HONDA/CG 160 FAN ESDI;2016; 14.0
ACRE;EPITACIOLANDIA;HYUNDAI/HB20 1.0M 1.0 M;2012; 1.0
ACRE;EPITACIOLANDIA;I/TOYOTA HILUX 4X4 CD;1995; 1.0
ACRE;EPITACIOLANDIA;M.BENZ/ATEGO 1419 CL;2020; 1.0
ACRE;EPITACIOLANDIA;RENAULT/CLIO AUT 10 16VS;2003; 1.0
ACRE;EPITACIOLANDIA;VOLVO/VM 330 4X2T;2019; 1.0
ACRE;EPITACIOLANDIA;VW/PARATI CL 1.8;1994; 1.0
ACRE;EPITACIOLANDIA;YAMAHA/XTZ 125K;2011; 10.0
ACRE;FEIJO;FIAT/PALIO WEEKEND ELX;2002; 1.0
ACRE;FEIJO;HONDA/BIZ 110I;2020; 14.0
ACRE;FEIJO;HONDA/ML 125;1982; 1.0
ACRE;FEIJO;I/FIAT CRONOS DRIVE GSR;2018; 1.0
ACRE;FEIJO;R/BEDEU RBA 501;2019; 1.0
ACRE;FEIJO;YAMAHA/CROSSER Z ABS;2025; 1.0
ACRE;JORDAO;I/TOYOTA HILUX CDSRXA4FD;2023; 1.0
ACRE;MANCIO LIMA;FIAT/STRADA RANCH T200AT;2025; 1.0
ACRE;MANCIO LIMA;HONDA/CBX 200 STRADA;2000; 1.0
ACRE;MANCIO LIMA;HYUNDAI/CRETA1TA PLTINUM;2022; 1.0
ACRE;MANCIO LIMA;R/ISIDOC CIA 1502;2025; 1.0
ACRE;MANCIO LIMA;VW/SAVEIRO 1.6 TITAN;2008; 1.0
ACRE;MANOEL URBANO;CHEVROLET/ONIX 1.0MT LT;2018; 1.0
ACRE;MANOEL URBANO;HONDA/CG 125 FAN ES;2012; 4.0
ACRE;MANOEL URBANO;I/TOYOTA HILUX CD4X4 SRV;2007; 2.0
ACRE;MANOEL URBANO;YAMAHA/XTZ 125K;2003; 1.0
ACRE;MARECHAL THAUMATURGO;VW/26.280 CRM 6X4;2013; 1.0
ACRE;PLACIDO DE CASTRO;FIAT/ARGO DRIVE 1.0;2023; 1.0
ACRE;PLACIDO DE CASTRO;FORD/CARGO 2422 E;2010; 1.0
ACRE;PLACIDO DE CASTRO;HONDA/BIZ 125 ES;2012; 11.0
ACRE;PLACIDO DE CASTRO;HONDA/NXR125 BROS ES;2004; 14.0
ACRE;PLACIDO DE CASTRO;I/TOYOTA HILUX 4CDL DX;2003; 2.0
ACRE;PLACIDO DE CASTRO;PEUGEOT/BOXER FURG MTE;2005; 1.0
ACRE;PLACIDO DE CASTRO;VW/8.150;2003; 1.0
ACRE;PLACIDO DE CASTRO;VW/SAVEIRO CS TL MB;2014; 1.0
ACRE;PORTO ACRE;CHEV/SPIN 1.8L AT LTZ;2012; 1.0
ACRE;PORTO ACRE;FIAT/TORO VOLC AT9 4X4;2022; 1.0
ACRE;PORTO ACRE;GM/MONZA SL/E;1989; 1.0
ACRE;PORTO ACRE;HONDA/HR-V EXL CVT;2018; 1.0
ACRE;PORTO ACRE;I/TOYOTA HILUX CDSRVA4GF;2016; 1.0
ACRE;PORTO ACRE;R/MILTON BRASILIA CA;2010; 1.0
ACRE;PORTO ACRE;VW/NOVO GOL HL MBV;2016; 1.0
ACRE;PORTO ACRE;YAMAHA/YBR150 FACTOR ED;2024; 6.0
ACRE;PORTO WALTER;YAMAHA/XTZ 250 LANDER;2025; 1.0
ACRE;RIO BRANCO;BMW/X1 S20I ACTIVEFLEX;2018; 3.0
ACRE;RIO BRANCO;CHEV/SPIN 1.8L AT LT;2012; 3.0
ACRE;RIO BRANCO;CHEVROLET/S10 LS DS4C;2017; 3.0
ACRE;RIO BRANCO;DODGE/P700;1977; 1.0
ACRE;RIO BRANCO;FIAT/FIORINO 1.0;1994; 11.0
ACRE;RIO BRANCO;FIAT/PALIO HLX FLEX;2007; 3.0
ACRE;RIO BRANCO;FIAT/STILO SPORTING DUAL;2010; 1.0
ACRE;RIO BRANCO;FIAT/TORO VOLCANO AT D4;2017; 5.0
ACRE;RIO BRANCO;FORD/BELINA II L;1981; 3.0
ACRE;RIO BRANCO;FORD/DEL REY BELINA GHIA;1990; 1.0
ACRE;RIO BRANCO;FORD/F1000 MM STAR I;1990; 1.0
ACRE;RIO BRANCO;FORD/FIESTA TRAIL;2009; 3.0
ACRE;RIO BRANCO;FORD/VERONA LX;1990; 4.0
ACRE;RIO BRANCO;GM/CHEVROLET 11000;1986; 1.0
ACRE;RIO BRANCO;GM/KADETT GL;1994; 13.0
ACRE;RIO BRANCO;GM/S10 COLINA D;2004; 2.0
ACRE;RIO BRANCO;HONDA/BIZ 125 ES;2009; 220.0
ACRE;RIO BRANCO;HONDA/CG 125 FAN KS;2010; 1381.0
ACRE;RIO BRANCO;HONDA/CIVIC LX CVT;2020; 1.0
ACRE;RIO BRANCO;HONDA/NX-4 FALCON;2005; 13.0
ACRE;RIO BRANCO;HONDA/XR300L TORNADO;2026; 2.0
ACRE;RIO BRANCO;HYUNDAI/HB20S 16A VISION;2020; 4.0
ACRE;RIO BRANCO;I/CHEV TRACKER LTZ;2016; 1.0
ACRE;RIO BRANCO;I/FORD FIESTA SD 1.6LTIA;2013; 1.0
ACRE;RIO BRANCO;I/FORD RANGER XLT CD4 32;2012; 4.0
ACRE;RIO BRANCO;I/JEEP GCHEROKEE LTD3.6L;2013; 1.0
ACRE;RIO BRANCO;I/M.BENZ313SF VIDA AMB;2011; 1.0
ACRE;RIO BRANCO;I/PEUGEOT 307SD16 FXPR;2007; 1.0
ACRE;RIO BRANCO;I/TOYOTA HILUX CDLOWM4FD;2019; 23.0
ACRE;RIO BRANCO;I/VW BEETLE;2007; 1.0
ACRE;RIO BRANCO;IMP/GM SILVERADO CONQ;1998; 4.0
ACRE;RIO BRANCO;IVECO/STRALIS 800S48TZ;2021; 3.0
ACRE;RIO BRANCO;JTA/SUZUKI BANDIT 1250 S;2009; 1.0
ACRE;RIO BRANCO;M.BENZ/608;1983; 1.0
ACRE;RIO BRANCO;M.BENZ/GLA200FF;2017; 3.0
ACRE;RIO BRANCO;M.BENZ/LP 321;1964; 1.0
ACRE;RIO BRANCO;MMC/L200 SPORT 4X4 HPE;2007; 2.0
ACRE;RIO BRANCO;NISSAN/KICKS PLATINUM AT;2025; 5.0
ACRE;RIO BRANCO;R/BODE RL 1;2007; 1.0
ACRE;RIO BRANCO;R/GLOBAL CA NAUTICA;2025; 4.0
ACRE;RIO BRANCO;R/RADIAL RCAM 751;2023; 1.0
ACRE;RIO BRANCO;REB/BUENO TR BARCO SOL 1;2004; 1.0
ACRE;RIO BRANCO;REB/SEMI-REBOQUE;1999; 1.0
ACRE;RIO BRANCO;RENAULT/M SOBERANA UM.CH;2010; 2.0
ACRE;RIO BRANCO;SCANIA/R 440 A6X4;2012; 2.0
ACRE;RIO BRANCO;SR/LIBRELATO SRLN 4E;2025; 3.0
ACRE;RIO BRANCO;SR/VERTRUCKS SR003 CG30T;2013; 2.0
ACRE;RIO BRANCO;TOYOTA/ETIOS HB PLATINUM;2014; 3.0
ACRE;RIO BRANCO;VOLVO/FM 500 8X4R;2022; 5.0
ACRE;RIO BRANCO;VW/APOLLO GL;1991; 11.0
ACRE;RIO BRANCO;VW/GOL 1.6;2005; 5.0
ACRE;RIO BRANCO;VW/GOLF GENERATION;2002; 10.0
ACRE;RIO BRANCO;VW/PARATI;1986; 3.0
ACRE;RIO BRANCO;VW/PUMA GTS;1977; 1.0
ACRE;RIO BRANCO;VW/T CROSS CL TSI;2023; 11.0
ACRE;RIO BRANCO;YAMAHA/DRAG STAR XVS 650;2007; 1.0
ACRE;RIO BRANCO;YAMAHA/XTZ 125E;2012; 58.0
ACRE;RODRIGUES ALVES;FIAT/STRADA ADVENT FLEX;2011; 1.0
ACRE;RODRIGUES ALVES;HONDA/CG150 TITAN MIX ES;2010; 1.0
ACRE;RODRIGUES ALVES;VW/GOL 1.0;2003; 1.0
ACRE;RODRIGUES ALVES;YAMAHA/YZF R15 ABS;2025; 1.0
ACRE;SENA MADUREIRA;CHEV/ONIX PLUS 10TAT PR2;2021; 1.0
ACRE;SENA MADUREIRA;FIAT/PALIO WK ATTRAC 1.4;2012; 1.0
ACRE;SENA MADUREIRA;FORD/FIESTA FLEX;2013; 2.0
ACRE;SENA MADUREIRA;HONDA/CBX 200 STRADA;2001; 1.0
ACRE;SENA MADUREIRA;HONDA/NXR150 BROS MIX KS;2010; 1.0
ACRE;SENA MADUREIRA;I/FORD FOCUS 2.0L FC;2002; 1.0
ACRE;SENA MADUREIRA;JEEP/COMPASS LONGITUDE F;2018; 2.0
ACRE;SENA MADUREIRA;R/RC CARROFER 3E VTAV;2021; 1.0
ACRE;SENA MADUREIRA;VOLVO/FM 440 6X4T;2008; 1.0
ACRE;SENA MADUREIRA;VW/SAVEIRO CLI;1997; 2.0
ACRE;SENA MADUREIRA;YAMAHA/YS150 FAZER ED;2014; 9.0
ACRE;SENADOR GUIOMARD;FIAT/FIORINO FLEX;2010; 1.0
ACRE;SENADOR GUIOMARD;FIAT/UNO SPORTING 1.4;2015; 1.0
ACRE;SENADOR GUIOMARD;GM/CHEVETTE SL;1987; 1.0
ACRE;SENADOR GUIOMARD;HONDA/CG 125 FAN ES;2012; 17.0
ACRE;SENADOR GUIOMARD;HONDA/PCX 150 SPORT;2018; 1.0
ACRE;SENADOR GUIOMARD;I/HAFEI MINI PICK-UP L;2010; 1.0
ACRE;SENADOR GUIOMARD;JTZ/DK150;2018; 1.0
ACRE;SENADOR GUIOMARD;R/AQUA FORCE CA;2014; 1.0
ACRE;SENADOR GUIOMARD;SR/NOMA SR2E17T2 CL;2010; 1.0
ACRE;SENADOR GUIOMARD;VW/GOL 1.6 MI;1997; 1.0
ACRE;SENADOR GUIOMARD;VW/SAVEIRO CD CROSS MA;2018; 2.0
ACRE;SENADOR GUIOMARD;YAMAHA/YBR150 FACTOR;2026; 5.0
ACRE;TARAUACA;FIAT/PALIO WK ADVENTURE;2002; 1.0
ACRE;TARAUACA;GM/PRISMA MAXX;2010; 2.0
ACRE;TARAUACA;HONDA/HR-V EX CVT;2020; 1.0
ACRE;TARAUACA;I/FIAT CRONOS DRIVE 1.3;2022; 3.0
ACRE;TARAUACA;MMC/L200 TRITON 2.4 HLS;2014; 2.0
ACRE;TARAUACA;VW/GOL 1.6;2009; 2.0
ACRE;TARAUACA;YAMAHA/YBR150 FACTOR E;2016; 1.0
ACRE;XAPURI;FIAT/STRADA WORKING CE;2013; 1.0
ACRE;XAPURI;HONDA/C100 BIZ;1998; 10.0
ACRE;XAPURI;HONDA/NXR160 BROS ESD;2015; 34.0
ACRE;XAPURI;I/TOYOTA HILUX CDSRVA4FD;2015; 1.0
ACRE;XAPURI;REB/FORTES F3;2007; 1.0
ACRE;XAPURI;VW/POLO SEDAN 1.6 COMFOR;2010; 1.0
ALAGOAS;AGUA BRANCA;CHEVROLET/ONIX 1.0MT LS;2016; 2.0
ALAGOAS;AGUA BRANCA;FIAT/UNO MILLE WAY ECON;2012; 10.0
ALAGOAS;AGUA BRANCA;GM/MONZA SL/E;1987; 1.0
ALAGOAS;AGUA BRANCA;HONDA/NXR150 BROS ES;2005; 1.0
ALAGOAS;AGUA BRANCA;IMP/VW GOL CL 1.6 MI;1997; 3.0
ALAGOAS;AGUA BRANCA;VW/FOX 1.0;2004; 3.0
ALAGOAS;AGUA BRANCA;YAMAHA/YS150 FAZER ED;2015; 1.0
ALAGOAS;ANADIA;FIAT/TORO ENDURANCE MT5;2020; 1.0
ALAGOAS;ANADIA;HONDA/BIZ 125 EX;2015; 2.0
ALAGOAS;ANADIA;HONDA/XRE 190;2022; 2.0
ALAGOAS;ANADIA;R/BCS CA 450;2003; 2.0
ALAGOAS;ANADIA;VW/GOLF 1.6 SPORTLINE;2010; 1.0
ALAGOAS;ARAPIRACA;BAJAJ/DOMINAR D400;2025; 57.0
ALAGOAS;ARAPIRACA;CHEV/PRISMA 1.4AT LT;2017; 7.0
ALAGOAS;ARAPIRACA;CHEVROLET/S10 LS DS4C;2018; 1.0
ALAGOAS;ARAPIRACA;DAFRA/TVS APACHE RTR 150;2013; 1.0
ALAGOAS;ARAPIRACA;FIAT/FASTBACK IMPETUS HY;2025; 9.0
ALAGOAS;ARAPIRACA;FIAT/PALIO WEEK TREKKING;2010; 3.0
ALAGOAS;ARAPIRACA;FIAT/STRADA ADVENT FLEX;2008; 9.0
ALAGOAS;ARAPIRACA;FIAT/UNO 1.6 R;1994; 1.0
ALAGOAS;ARAPIRACA;FORD/CARGO 2422 E;2007; 1.0
ALAGOAS;ARAPIRACA;FORD/ECOSPORT XLT1.6FLEX;2008; 13.0
ALAGOAS;ARAPIRACA;FORD/FIESTA SEDAN FLEX;2006; 1.0
ALAGOAS;ARAPIRACA;GM/ASTRA HB 4P ADVANTAGE;2006; 25.0
ALAGOAS;ARAPIRACA;GM/CHEVROLET D10/1000;1983; 1.0
ALAGOAS;ARAPIRACA;GM/MONZA CLASSIC SE 2.0;1992; 1.0
ALAGOAS;ARAPIRACA;HONDA/BIZ 100 ES;2013; 153.0
ALAGOAS;ARAPIRACA;HONDA/CG 125 FAN ES;2010; 237.0
ALAGOAS;ARAPIRACA;HONDA/FIT EX;2007; 1.0
ALAGOAS;ARAPIRACA;HONDA/SHADOW 750;2011; 2.0
ALAGOAS;ARAPIRACA;HYUNDAI/HB20S 1.0M UNIQ;2019; 4.0
ALAGOAS;ARAPIRACA;I/CITROEN BERLINGO 16 MP;2005; 1.0
ALAGOAS;ARAPIRACA;I/FORD FUSION SEL GTDI;2017; 2.0
ALAGOAS;ARAPIRACA;I/HYUNDAI TUCSON GL 20L;2008; 4.0
ALAGOAS;ARAPIRACA;I/MINI COOPER S 5P;2015; 1.0
ALAGOAS;ARAPIRACA;I/RENAULT FLUENCE DYN20A;2015; 1.0
ALAGOAS;ARAPIRACA;I/VOLVO EX40 6 PLUS;2024; 1.0
ALAGOAS;ARAPIRACA;IMP/FORD FIESTA;1994; 2.0
ALAGOAS;ARAPIRACA;JEEP/COMPASS LONGITUDE F;2020; 15.0
ALAGOAS;ARAPIRACA;KASINSKI/MIRAGE 150 50;2010; 5.0
ALAGOAS;ARAPIRACA;M.BENZ/L 1113;1969; 3.0
ALAGOAS;ARAPIRACA;M.BENZ/OF1722NEOBUS SROD;2009; 1.0
ALAGOAS;ARAPIRACA;NISSAN/FRONTIER XE 25 X4;2011; 3.0
ALAGOAS;ARAPIRACA;R/FREE HOBBY FH2;2015; 1.0
ALAGOAS;ARAPIRACA;RAM/RAMPAGE LARAMIE DS;2024; 25.0
ALAGOAS;ARAPIRACA;RENAULT/DUSTER 16 E 4X2;2015; 2.0
ALAGOAS;ARAPIRACA;SCANIA/P 340 A4X2;2011; 2.0
ALAGOAS;ARAPIRACA;SR/NOMA SR3E27 CG;2014; 1.0
ALAGOAS;ARAPIRACA;TOYOTA/COROLLA GLI18 CVT;2015; 12.0
ALAGOAS;ARAPIRACA;VOLVO/NL10 340;1992; 2.0
ALAGOAS;ARAPIRACA;VW/7.110;2004; 3.0
ALAGOAS;ARAPIRACA;VW/GOL 1.0 ECOMOTION GIV;2012; 1.0
ALAGOAS;ARAPIRACA;VW/KOMBI;2012; 14.0
ALAGOAS;ARAPIRACA;VW/PARATI S;1983; 3.0
ALAGOAS;ARAPIRACA;VW/SAVEIRO CD ROCK MB;2015; 1.0
ALAGOAS;ARAPIRACA;YAMAHA/CROSSER S ABS;2023; 16.0
ALAGOAS;ARAPIRACA;YAMAHA/YBR125 FACTOR ED;2015; 16.0
ALAGOAS;ATALAIA;DAF/CF FAC 310;2024; 1.0
ALAGOAS;ATALAIA;FIAT/STRADA FREEDOM CD;2019; 1.0
ALAGOAS;ATALAIA;FORD/ESCORT;1986; 1.0
ALAGOAS;ATALAIA;GM/CHEVETTE SL 1.6;1987; 1.0
ALAGOAS;ATALAIA;HONDA/CG 125 TITAN;1996; 3.0
ALAGOAS;ATALAIA;HYUNDAI/CRETA 16A ATTITU;2019; 3.0
ALAGOAS;ATALAIA;I/NISSAN FRONTIER TI;2000; 1.0
ALAGOAS;ATALAIA;M.BENZ/LA 1113;1982; 1.0
ALAGOAS;ATALAIA;REB/KRONE;1990; 1.0
ALAGOAS;ATALAIA;VW/BRASILIA;1976; 2.0
ALAGOAS;ATALAIA;VW/LOGUS CL;1993; 1.0
ALAGOAS;ATALAIA;VW/VIRTUS MF;2019; 2.0
ALAGOAS;BARRA DE SANTO ANTONIO;DAFRA/TVS APACHE RTR 150;2014; 1.0
ALAGOAS;BARRA DE SANTO ANTONIO;FORD/ESCORT GL;1983; 1.0
ALAGOAS;BARRA DE SANTO ANTONIO;HONDA/CG 125 CARGO;2001; 1.0
ALAGOAS;BARRA DE SANTO ANTONIO;HYUNDAI/HB20X 1.6A PREMI;2016; 1.0
ALAGOAS;BARRA DE SANTO ANTONIO;NISSAN/KICKS SL CVT;2020; 1.0
ALAGOAS;BARRA DE SANTO ANTONIO;VW/FUSCA;1980; 1.0
ALAGOAS;BARRA DE SANTO ANTONIO;YAMAHA/XTZ250 LANDER;2024; 1.0
ALAGOAS;BARRA DE SAO MIGUEL;FIAT/PUNTO ELX 1.4;2009; 1.0
ALAGOAS;BARRA DE SAO MIGUEL;GM/PRISMA MAXX;2007; 2.0
ALAGOAS;BARRA DE SAO MIGUEL;HONDA/POP 110I;2023; 26.0
ALAGOAS;BARRA DE SAO MIGUEL;I/SHINERAY XY50Q PHOENIX;2011; 9.0
ALAGOAS;BARRA DE SAO MIGUEL;RENAULT/SANDERO SZE16MT;2019; 1.0
ALAGOAS;BARRA DE SAO MIGUEL;VW/SAVEIRO CD RB MF;2025; 2.0
ALAGOAS;BATALHA;FIAT/PALIO ELX;2003; 1.0
ALAGOAS;BATALHA;FORD/F4000;1992; 5.0
ALAGOAS;BATALHA;HONDA/CG 125 FAN;2005; 2.0
ALAGOAS;BATALHA;I/CHRYSLER PTCRUISER TRG;2010; 1.0
ALAGOAS;BATALHA;R/FREE HOBBY FH2;2010; 1.0
ALAGOAS;BATALHA;VW/GOL PLUS MI;1996; 2.0
ALAGOAS;BELEM;CHEVROLET/S10 HC DD4A;2017; 1.0
ALAGOAS;BELEM;HONDA/CG 125 FAN KS;2010; 7.0
ALAGOAS;BELEM;RENAULT/SANDERO STEPWAY;2012; 1.0
ALAGOAS;BELO MONTE;FIAT/UNO MILLE EP;1996; 1.0
ALAGOAS;BELO MONTE;I/NISSAN FRONTIER LE X4;2018; 1.0
ALAGOAS;BOCA DA MATA;DAFRA/TVS APACHE RTR 150;2011; 1.0
ALAGOAS;BOCA DA MATA;FIAT/UNO MILLE;2003; 1.0
ALAGOAS;BOCA DA MATA;GM/CELTA 4P SUPER;2006; 1.0
ALAGOAS;BOCA DA MATA;HONDA/CG 150 TITAN ESD;2008; 2.0
ALAGOAS;BOCA DA MATA;I/CHERY TIGGO 2.0;2011; 1.0
ALAGOAS;BOCA DA MATA;JTZ/DOWNTOWN 300;2017; 1.0
ALAGOAS;BOCA DA MATA;REB/MARGOTTI;1989; 1.0
ALAGOAS;BOCA DA MATA;VW/GOL 1.6L MB5;2021; 1.0
ALAGOAS;BOCA DA MATA;VW/UP TRACK;2017; 1.0
ALAGOAS;BRANQUINHA;FIAT/UNO MILLE SMART;2000; 7.0
ALAGOAS;BRANQUINHA;HONDA/CG 160 FAN;2021; 1.0
ALAGOAS;BRANQUINHA;MMC/L200 TRITON SPO GLSA;2024; 5.0
ALAGOAS;CACIMBINHAS;DAFRA/ZIG;2010; 2.0
ALAGOAS;CACIMBINHAS;FORD/FIESTA FLEX;2009; 2.0
ALAGOAS;CACIMBINHAS;HONDA/CG 160 TITAN;2018; 7.0
ALAGOAS;CACIMBINHAS;M.BENZ/LA 1113;1976; 1.0
ALAGOAS;CACIMBINHAS;VW/VIRTUS AB;2025; 2.0
