marca_bruta,marca_padrao
AGRALE,AGRALE
ALFA,ALFA ROMEO
ALFA ROMEO,ALFA ROMEO
ASTON,ASTON MARTIN
AUDI,AUDI
BENTLEY,BENTLEY
BMW,BMW
BYD,BYD
CAOA,CAOA CHERY
CAOA CHERY,CAOA CHERY
CAOACHERY,CAOA CHERY
CHERY,CHERY
CHEV,CHEVROLET
CHEVROLET,CHEVROLET
CITROEN,CITROEN
DODGE,DODGE
EFFA,EFFA
FERRARI,FERRARI
FIAT,FIAT
FORD,FORD
GEELY,GEELY
GM,CHEVROLET
GMC,CHEVROLET
GURGEL,GURGEL
GWM,GWM
HONDA,HONDA
HYUNDAI,HYUNDAI
JAC,JAC
JACMOTORS,JAC
JAGUAR,JAGUAR
JEEP,JEEP
KIA,KIA MOTORS
KIA MOTORS,KIA MOTORS
LAMBORGHINI,LAMBORGHINI
LAND ROVER,LAND ROVER
LANDROVER,LAND ROVER
LEXUS,LEXUS
LIFAN,LIFAN
LR,LAND ROVER
M BENZ,MERCEDES-BENZ
M.A.,MERCEDES-BENZ
M.BENZ,MERCEDES-BENZ
MAHINDRA,MAHINDRA
MASERATI,MASERATI
MBENZ,MERCEDES-BENZ
MERCEDES BENZ,MERCEDES-BENZ
MERCEDES-BENZ,MERCEDES-BENZ
MINI,MINI
MITSUBISHI,MITSUBISHI
MMC,MITSUBISHI
NISSAN,NISSAN
PEUGEOT,PEUGEOT
PORSCHE,PORSCHE
RAM,RAM
RENAULT,RENAULT
ROLLS,ROLLS-ROYCE
ROLLS-ROYCE,ROLLS-ROYCE
SEAT,SEAT
SMART,SMART
SSANG YONG,SSANGYONG
SSANGYONG,SSANGYONG
SUBARU,SUBARU
SUZUKI,SUZUKI
TOYOTA,TOYOTA
TROLLER,TROLLER
VOLKS,VOLKSWAGEN
VOLKSWAGEN,VOLKSWAGEN
VOLVO,VOLVO
VW,VOLKSWAGEN
WILLYS,WILLYS OVERLAND
WILLYS OVERLAND,WILLYS OVERLAND
